group,config,embedding,valid_runs,total_runs,pushforward,k,n_samples,theiler_w,noise_level,E_star_k_mean,E_star_k_std,CondVar_mean,CondVar_std,PredErr_mean,PredErr_std,MeanDisp_mean,MeanDisp_std,NeighborDisp_mean,NeighborDisp_std,median_rk_mean,median_rk_std,q90_rk_mean,q90_rk_std,mean_rk_mean,mean_rk_std
k,k=20,x_z_z,10,10,20,20,5000,30,0.0,6.982881810217182,0.24601218062295555,1673.1490353950583,157.713340401065,8.465262113952102,0.6136426290369728,7.366917193954471,0.27719309004290194,9.776865629808189,0.32203993446887696,0.04122327060222258,0.0009009504002986235,4.436476610399112,0.4609765980932822,3.6550559638755744,0.1739351224797568
k,k=20,x_z_x,10,10,20,20,5000,30,0.0,3.9723176578982233,0.16014687706371517,354.1888200516174,14.575067095415179,3.8109094423221643,0.12722075728169907,4.1816321532561265,0.16554665339469923,4.9645694814696375,0.19689223572029968,0.03660651745562575,0.000363706310828967,0.5335837738812892,0.02361265970368072,0.26666223478917356,0.0057829064406998065
k,k=20,y_plus_z,10,10,20,20,5000,30,0.0,0.4163445553613688,0.016500379954713654,6.511497335014793,0.7193655000711435,0.4164281629751677,0.028604709837736702,0.43899442720420206,0.018726662192156893,0.5773503900673481,0.023037003356089714,0.036294451266512415,0.00017289263100532553,0.23523536876513185,0.015443089460929985,0.2727833234277756,0.011377930319790957
k,k=20,x_plus_z,10,10,20,20,5000,30,0.0,0.8957118866425378,0.029184520592852783,37.00439087762885,2.858672763457272,1.0899380471967457,0.09399031318387217,0.9644220039650275,0.03529759940571592,1.2820197570101581,0.044351890117752396,0.03513752634080736,0.00047931107131228367,0.3889063574199243,0.02085871894692832,0.3406512768165125,0.012420373355132098
k,k=20,x_plus_y,10,10,20,20,5000,30,0.0,0.054167346448853126,0.0014542589753503388,0.041944406952772614,0.007604158938910266,0.059997198306667096,0.0026421645129436643,0.056124696547038985,0.0017249139127001431,0.0742571960936216,0.0019366124090953848,0.03504366611027291,0.00017150897270442407,0.16334258404480906,0.0029248792458012973,0.07246351107104324,0.0015508866747932593
k,k=100,x_x_x,10,10,20,100,5000,30,0.0,0.17061452237979,0.0041263299859725594,0.45416180860432676,0.030947680870524952,0.12668487590371857,0.005649122287761378,0.17670411450876708,0.00480653390945725,0.23393737338079962,0.005564452341895635,0.10394308347405437,0.0008151577769109416,0.23735534902526845,0.004460551845550087,0.20317056159265484,0.003843252947403803
k,k=100,y_y_y,10,10,20,100,5000,30,0.0,0.0716174274647031,0.0005905415282350724,0.012111382713323574,0.0004752593719902135,0.04279407068238763,0.0009224197520409551,0.07259428913102936,0.0006248864532440655,0.09831516653055519,0.0008116196368912191,0.10746951263648588,0.0005859336872846149,0.2013282946481753,0.003123318910306255,0.12811337576118245,0.0007839735674348513
k,k=100,z_z_z,10,10,20,100,5000,30,0.0,20.558601915523475,0.562149066527529,10757.067368688846,408.8881318872845,14.072979659342048,0.7572793570949604,20.892702601090917,0.5944804035642294,28.571227924256085,0.7816349696369043,0.1130106247146011,0.003554337294219791,26.776884062942706,1.2621589473832657,32.94353201227688,1.356482950584107
k,k=100,y_z_y,10,10,20,100,5000,30,0.0,4.908167364708406,0.17835604827564755,391.4858646456922,15.874723720354554,5.0100673369356645,0.1624043161843024,5.030649226286435,0.18504912231110446,5.9029987182885275,0.21350254241214112,0.10760141902547919,0.0007622572111712698,1.290793146977714,0.01752485597630223,1.0158806773341973,0.03233481039967602
k,k=100,x_y_x,10,10,20,100,5000,30,0.0,0.0720081348135401,0.0006022820985777137,0.012145341878334449,0.0005480616823445604,0.04304326290390768,0.000944189949813756,0.07296847883327005,0.000650080866857342,0.09883416941904724,0.0008421945867575345,0.10755833393385676,0.00043081650961412807,0.2026593598419255,0.0028927059928133686,0.12918782179572136,0.0008188041951473839
k,k=100,x_y_y,0,10,20,100,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
k,k=100,y_z_z,10,10,20,100,5000,30,0.0,19.603295598337706,0.6616984876055232,11621.377292227962,653.4760684519387,20.69185885098791,1.137932661933121,20.678096794831397,0.7008379745194064,26.558456153626672,0.8159545464468394,0.12588646073911341,0.0017354539625126727,10.902647593583444,1.0303358028048797,10.764293465430923,0.42018842786793137
k,k=100,x_z_z,10,10,20,100,5000,30,0.0,19.631415527921803,0.661523773723723,11622.005048654133,653.4404742713942,20.74151368943263,1.1387925000795334,20.70497071563849,0.7004520511020162,26.585867411208802,0.8155302392893321,0.10712481995765455,0.0015543381831427117,10.899120221129342,1.032698322931152,10.727652234597887,0.42011467698727756
k,k=100,x_z_x,10,10,20,100,5000,30,0.0,4.907388583454047,0.17839629218166123,391.5770876583581,15.885834450033112,4.998811664575622,0.16216320726559616,5.030731620208557,0.18519371650706745,5.903584033335145,0.21356565636858837,0.10182204905722225,0.0006338980617770996,1.2655314797167532,0.020878327994556294,1.0084003733861777,0.03236765963724837
k,k=100,y_plus_z,10,10,20,100,5000,30,0.0,1.1273599951926343,0.04523318729798447,40.127342701129294,2.276652448250601,1.0213567682536582,0.04244036932642471,1.1814571897290227,0.048291495736093835,1.5054419168861695,0.05849050838418251,0.1000804543885162,0.0003225076382555449,0.5863697761818436,0.02746569332083059,0.7244162116067046,0.028997125218991747
k,k=100,x_plus_z,10,10,20,100,5000,30,0.0,2.509654986367908,0.10879296088269193,196.98995268040954,11.798593878725349,2.6745914645988593,0.16046799408830495,2.7107600529625886,0.12064617731899897,3.3904179630222098,0.14335926307540026,0.10105659274682673,0.00115165900122123,1.0090511612766166,0.03614723264519265,0.9706222724468565,0.030103956302952577
k,k=100,x_plus_y,10,10,20,100,5000,30,0.0,0.1394539354980466,0.0029155766668087055,0.2545812334865628,0.015791046621187837,0.10563646757572212,0.004284035322233322,0.14385328705459294,0.003366895763883651,0.19133181929334675,0.003975637189267393,0.10611387938995591,0.0009546555260177071,0.22567292603724667,0.0038838491546995565,0.17569802906598694,0.0029549429412814745
horizon,n=5,x_x_x,10,10,5,50,5000,30,0.0,0.07784364522779148,0.0019381516440572307,0.05708637399903814,0.0041044794062534504,0.052358596061352125,0.0014451257399170617,0.07934637095329966,0.002031685686958172,0.1070371716592405,0.0026848952476023094,0.06596987079534773,0.00033139939681460956,0.190372697281098,0.001963855180676967,0.13395078479042763,0.0021583463590998182
horizon,n=5,y_y_y,10,10,5,50,5000,30,0.0,0.042320002998052456,0.00036621999118318483,0.0034882460202651554,0.00010388497587635047,0.03095816413276309,0.0006036158954265714,0.042775157150766935,0.00038348014713943823,0.05799516360247329,0.0004826028578912644,0.0654611532047804,0.0003581321000688475,0.16689335315183135,0.0012844053936775341,0.08527452886476808,0.0006972950332990524
horizon,n=5,z_z_z,10,10,5,50,5000,30,0.0,12.213280167921898,0.5881937267199995,3915.4548560060734,347.75936032606126,7.713389888000795,0.3968545445620078,12.387532815494136,0.6107967744366656,16.609959891259344,0.7835707622945259,0.06996432273996052,0.0015854502412673455,16.76387867918102,0.5276035555572772,20.99728714772416,0.8680668951823302
horizon,n=5,y_z_y,10,10,5,50,5000,30,0.0,1.4170185248011176,0.04904358246087704,36.82470297183831,1.6085928676724224,1.4017124779989973,0.043414849698322266,1.4539233034645036,0.04994650954240678,1.748012310127137,0.05898745714563249,0.06606412823137472,0.0006628099042578782,0.9242279469243915,0.030817274011728457,0.5406317304528282,0.015535507875117129
horizon,n=5,x_y_x,10,10,5,50,5000,30,0.0,0.042491581736044046,0.00034983296343897975,0.003518144497290558,0.00010543206411555084,0.03127520760128244,0.0006471912863411143,0.042953661107121135,0.00036447446638261243,0.058275625473622174,0.0004648154038408929,0.06556027302384662,0.0004169290613731309,0.16653451001259945,0.0016404099523479,0.08590656865184947,0.0007171785109373844
horizon,n=5,x_y_y,0,10,5,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
horizon,n=5,y_z_z,10,10,5,50,5000,30,0.0,5.729432685240521,0.21757520474689318,953.7866207422861,58.49343305516525,4.319814643640413,0.21606970847256973,5.914862037844808,0.23214854025934475,8.002918809110202,0.30774688128452005,0.08274632170300421,0.002476024383112996,7.876138786562234,0.6208244832506712,6.920053514098251,0.19276278681287093
horizon,n=5,x_z_z,10,10,5,50,5000,30,0.0,5.722481439993228,0.21738243552309197,953.7848508521369,58.492622690536656,4.325882593211647,0.21621839494544415,5.908052836801131,0.23194069129940878,7.993389017842224,0.307552545716493,0.07043186062220659,0.0011199580795926182,7.865959271417333,0.6184562604329992,6.891527754397503,0.19295286041456905
horizon,n=5,x_z_x,10,10,5,50,5000,30,0.0,1.413807293977107,0.04896775025115175,36.81490835199149,1.6082291352563907,1.3952596906897414,0.04335465522041839,1.4506911623165344,0.04987200216607093,1.7443213101295723,0.058866550376696275,0.06285783108338792,0.0008522330861256383,0.9162204276272282,0.02790545791939112,0.5361115138195773,0.015545504019152312
horizon,n=5,y_plus_z,10,10,5,50,5000,30,0.0,0.4293968623848629,0.01956111818768698,6.372096330411046,0.45487135235800114,0.2884702507741805,0.016730385459326483,0.44389890282642747,0.020526115409868317,0.598387689208485,0.026805725848922612,0.06266301330993955,0.0006286667354189504,0.3819476389844419,0.023982238370460963,0.48139603081359034,0.01819758534764608
horizon,n=5,x_plus_z,10,10,5,50,5000,30,0.0,0.7307124923375942,0.034334319804255164,17.846881629118293,1.3353608698824888,0.6464108575598699,0.034598984499197606,0.7679742288886662,0.03740565356904463,1.001059332585441,0.04609664351866,0.06273357206311383,0.0007835366155999896,0.6646508470881314,0.03500671925226036,0.5979688513385699,0.019197281355053972
horizon,n=5,x_plus_y,10,10,5,50,5000,30,0.0,0.06643990812161213,0.001576888209453443,0.03378044688475905,0.0027583458165004555,0.04758249781279028,0.0012883581789850547,0.06759765866584684,0.0016219218031143044,0.09149275051444276,0.002125685150302302,0.06385104518692224,0.0004175817617350375,0.18173012440446687,0.0012031665814850772,0.1165698445982204,0.001772397536440122
horizon,n=10,x_x_x,10,10,10,50,5000,30,0.0,0.09281086794403783,0.002389413881288676,0.1225036153115225,0.008444440348845082,0.0667078272902876,0.0022995508515126404,0.09526345382384693,0.0025610517286537475,0.1277847309931513,0.0031731140180228596,0.06599653498699173,0.00030623620384885613,0.1902783580849642,0.0017486505612163091,0.13382139466580814,0.0017993325961549917
horizon,n=10,y_y_y,10,10,10,50,5000,30,0.0,0.04327395634859478,0.00042265677733298584,0.0040307314481162915,0.00016857770095802635,0.032648290538905854,0.0007181773783777001,0.04377454984550342,0.00044665404707997674,0.059284336169804684,0.0005455341822316892,0.06545601987693521,0.0003058518355970588,0.16692570687520153,0.0014957518369748712,0.08526271986409725,0.000686089161881808
horizon,n=10,z_z_z,10,10,10,50,5000,30,0.0,13.629817415974802,0.5456325477715186,5237.401799276159,400.05218413195666,9.814902049300075,0.4811236196244131,13.858591557671451,0.5653959607814302,18.520706413701976,0.7323582399655457,0.07001363251349166,0.0016090145510439737,16.696428377859345,0.4316756722590327,20.898431760786877,0.6988138616272607
horizon,n=10,y_z_y,10,10,10,50,5000,30,0.0,2.6789662282948945,0.08839526171330632,132.84398620386588,5.371557552928326,2.6758217132017332,0.08953555272171626,2.74981695213715,0.09028899260562336,3.2290603703082574,0.10433057077735165,0.0660610943556979,0.0005121910620334232,0.9221604327192179,0.02448897210189201,0.5411546695862527,0.011803038626960092
horizon,n=10,x_y_x,10,10,10,50,5000,30,0.0,0.043428094841450084,0.0003530654367017035,0.004031023017171618,0.00014565435393487669,0.032997621000180555,0.0007646297285621691,0.04392854910858247,0.0003698116494776358,0.05953755244285967,0.00047001920026840983,0.0655729661841804,0.00037230270527916995,0.1665529398800128,0.0019271505511392819,0.08589855724639368,0.0006992142827941185
horizon,n=10,x_y_y,0,10,10,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
horizon,n=10,y_z_z,10,10,10,50,5000,30,0.0,8.612097299580832,0.24263101298177556,2618.672126192613,139.76956849948667,7.729332885916513,0.33207793484900866,9.055619043090255,0.26662902759466356,12.133032778308955,0.3374479888389035,0.08265237048763727,0.0024425396542012852,7.849074642253531,0.4099775667110108,6.913943301557248,0.19538628671820146
horizon,n=10,x_z_z,10,10,10,50,5000,30,0.0,8.618975567038788,0.242391421988542,2618.748970104468,139.76773989021854,7.750238785853948,0.3325151133690663,9.063705774067314,0.2664075302089094,12.141366378336759,0.337114176505289,0.07052612020576977,0.001430218702767503,7.844064481905941,0.40537634993793953,6.885328219040845,0.19552948784073904
horizon,n=10,x_z_x,10,10,10,50,5000,30,0.0,2.674127311448784,0.08805010581132044,132.78888600389558,5.363477613501087,2.6634462244270143,0.08923075446424543,2.745409747197933,0.0899421285844539,3.2244569598781405,0.104084361625492,0.06285473230201367,0.0007196656943880626,0.910512813560875,0.018435010137194497,0.5366770832464599,0.011815104156172878
horizon,n=10,y_plus_z,10,10,10,50,5000,30,0.0,0.6307989800723661,0.025684631340153467,16.221297513048363,1.1024109273115108,0.46822404769721543,0.023461895515327437,0.6638882838304034,0.027983696216468058,0.8860660310168542,0.03577232643081018,0.06266660361061793,0.0004977526752970275,0.38266872221383924,0.025314689342577162,0.47570209315878387,0.01522309907804312
horizon,n=10,x_plus_z,10,10,10,50,5000,30,0.0,1.2446764367792704,0.06068511098470081,61.32579501685192,4.607935800039578,1.188809546362895,0.06702475090304069,1.339053756465261,0.06710772619358317,1.7023529035623426,0.07888955362719066,0.06281550315696476,0.0007480237753448335,0.6642431132519827,0.027855773798761963,0.600411981274052,0.018876825543988073
horizon,n=10,x_plus_y,10,10,10,50,5000,30,0.0,0.07776348831154492,0.001968407229626933,0.07033671272185944,0.0057409796869305856,0.0595493076491165,0.002164705694683391,0.07959873631414678,0.002090376300804555,0.10726750488064232,0.002627696525265725,0.0638957258806098,0.0003171714738457518,0.18167835601111218,0.000972414644954234,0.11639270387729572,0.0016457739081181188
horizon,n=40,x_x_x,10,10,40,50,5000,30,0.0,0.08560641820540947,0.002417318105074099,0.06557428298245059,0.006015771400647004,0.07574898170580965,0.002728293056807179,0.08779498520465265,0.002653081320529255,0.11737518887681689,0.003329426145866789,0.06633547363558273,0.00035512969289237985,0.19350420030951582,0.0029319234165899907,0.13522681297650618,0.003233627628217493
horizon,n=40,y_y_y,10,10,40,50,5000,30,0.0,0.04692464861704652,0.00047695810663112774,0.005977101695241263,0.0003482514192573943,0.03982734215878967,0.0007719775723199757,0.04773221369232402,0.0005332342423012915,0.06420027311897229,0.0006556225829647633,0.06558343189976537,0.0002933509052612812,0.16786120204330712,0.0013588275377083966,0.08575035196910671,0.0007649771935706412
horizon,n=40,z_z_z,10,10,40,50,5000,30,0.0,14.964570855567931,0.4869940029084267,5291.981168551401,240.17827553880457,13.956476577470506,0.7610415375820297,15.141637554965962,0.5045952290702427,20.67328431128211,0.679980715412027,0.07128096344966788,0.0024692268372233338,17.357296780890863,1.0564124782007138,21.239403068335825,1.1602045633095182
horizon,n=40,y_z_y,10,10,40,50,5000,30,0.0,6.18776726233943,0.21550934424937537,630.2329647312256,25.316126819898535,6.190439398350089,0.20368244435009566,6.483885921560855,0.23356252762829027,7.486183807438789,0.2596493228066194,0.06639719113430077,0.0007140983452581809,0.9370306559989701,0.04685973850851082,0.5467874575639562,0.019557811618773242
horizon,n=40,x_y_x,10,10,40,50,5000,30,0.0,0.04708749022915009,0.0004502585916975256,0.0058787773683378845,0.00031461868430471344,0.040002927131830165,0.0008041083296207972,0.04790345104546439,0.0005086829797527956,0.06443898773837795,0.0006132587725072538,0.06572388320973033,0.0003606308425542982,0.16759532636186564,0.0016222500492028254,0.08640418681462672,0.0007873014540620895
horizon,n=40,x_y_y,0,10,40,50,5000,30,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
horizon,n=40,y_z_z,10,10,40,50,5000,30,0.0,9.745981001479448,0.3270629503950672,2538.7024916293985,141.85171333357755,11.468542200501599,0.8700629266161063,10.589250896797648,0.34859121401832616,14.205182592209656,0.4851212636269252,0.08376784971808164,0.003094049851122766,8.150389312928692,0.953751561770121,7.050043263879689,0.3174871813692255
horizon,n=40,x_z_z,10,10,40,50,5000,30,0.0,10.065406296116109,0.31977699584925523,2568.0318252611914,141.397534174564,11.823044577708286,0.8571470731907385,10.966480552596558,0.3403552711818581,14.615437512609802,0.4756955265569168,0.07143165486735496,0.0017256619691873787,8.143894899481404,0.957144734414733,7.021383182836955,0.31797090627834645
horizon,n=40,x_z_x,10,10,40,50,5000,30,0.0,6.187069385360344,0.21423409191018888,629.6063029016511,25.198711220079062,6.16886934374614,0.20063288357805334,6.488157804275268,0.23206018706271886,7.49099765448743,0.25735482114675384,0.06317194703240624,0.0009186920445711738,0.9259444125516151,0.04182999056907714,0.5423322627576914,0.019602952748534217
horizon,n=40,y_plus_z,10,10,40,50,5000,30,0.0,0.37133586536688373,0.012768776686587838,2.971104188077103,0.1692797176257625,0.3371294547487429,0.01979677760276724,0.37965562779537765,0.013142341069580506,0.5169102842285543,0.018089642225594064,0.06286466056915435,0.0005976496650259675,0.40392183935487597,0.027610960326658676,0.4815962591337253,0.023786928113572057
horizon,n=40,x_plus_z,10,10,40,50,5000,30,0.0,1.5069403537394486,0.08444051872803146,83.77306567453195,6.650363921084699,1.7786334741425638,0.16248281635855968,1.6610530943824002,0.09816624384109025,2.161424873127475,0.12141255290688895,0.06321844605766527,0.0007768968725973606,0.6994476902576061,0.054659141327526126,0.6125253939655527,0.024282017675695315
horizon,n=40,x_plus_y,10,10,40,50,5000,30,0.0,0.07399254897154886,0.0018264841341436684,0.041886543635396824,0.00365808735038398,0.06985436637920547,0.002875782420218907,0.07557315799470589,0.0019337902321585343,0.10144628629087919,0.002462267577650044,0.06444657683099751,0.0004281893023607857,0.18315928146927174,0.0014526480693449672,0.11774382121534903,0.002511713982019754
theiler,w=0,x_x_x,10,10,20,50,5000,0,0.0,0.10531269905010654,0.002875877340622089,0.17068065503269106,0.012069803595595128,0.06342716495461043,0.002893715921083129,0.10693956530232844,0.00303258741460834,0.14427347739195234,0.004000491766245475,0.05882430136384399,0.00037319644038216184,0.171793076312521,0.00284698771726088,0.11922907638589364,0.002795406320462541
theiler,w=0,y_y_y,10,10,20,50,5000,0,0.0,0.045641417216294396,0.00045712608986641214,0.005313802000805442,0.00025436060944491535,0.021544034447212222,0.00046332456942341346,0.04613768643754139,0.0004824845083399204,0.062218237242486374,0.0006265481865626724,0.05884836254110859,0.0002997674493352976,0.1445994290276186,0.002921490470949819,0.07425479279626143,0.0005635080577091513
theiler,w=0,z_z_z,10,10,20,50,5000,0,0.0,14.484388738993127,0.5292830510391228,5020.767286296721,304.47149801947677,9.263432607288049,0.4424359675897077,14.642968585422533,0.5485246596757221,19.728257549175645,0.7267385773152938,0.06001500239680083,0.0019260098310084248,15.080741312283763,0.6471918503218392,19.850617915368453,0.9018738286424035
theiler,w=0,y_z_y,10,10,20,50,5000,0,0.0,4.563315929507399,0.16162044842959203,377.4983448054453,14.620382288766299,4.544273385791947,0.1526508521391884,4.706211329779696,0.16733383762791207,5.519163555526006,0.1987873653822372,0.05912577734825464,0.0005208493669405253,0.8610948059917689,0.04927337607791488,0.49723476379790854,0.012042435634333963
