group,config,embedding,repeat,status,condition_number,pushforward,k,n_samples,theiler_w,noise_level,E_star_k,CondVar,PredErr,MeanDisp,NeighborDisp,median_rk,q90_rk,mean_rk,n_queries,not_enough_queries
baseline,baseline,y_y_y,5,ok,3.44652416507327,20,50,5000,30,0.0,0.04463239457100625,0.004748152915649778,0.03541003921832903,0.045234669632836774,0.06108171047306115,0.06560534137457585,0.16546803519215814,0.08510107555002117,5000,0
baseline,baseline,y_y_y,6,ok,3.44652416507327,20,50,5000,30,0.0,0.0452246372245844,0.005203632033372989,0.03659204634077438,0.04580426075933357,0.06199257097920315,0.06573964276103805,0.1678373896487228,0.08550712592798922,5000,0
baseline,baseline,y_y_y,7,ok,3.44652416507327,20,50,5000,30,0.0,0.04466984334381104,0.005134074200162027,0.03597118622199559,0.04524710665944904,0.06124343440042908,0.06510665942569774,0.16561310934631338,0.08451339509542985,5000,0
baseline,baseline,y_y_y,8,ok,3.44652416507327,20,50,5000,30,0.0,0.045673809060754,0.005275192547132273,0.036794316892049025,0.04624718611372982,0.06247729464367436,0.06542283439562473,0.1666699284058876,0.08596887872273667,5000,0
baseline,baseline,y_y_y,9,ok,3.44652416507327,20,50,5000,30,0.0,0.044718100816818825,0.00467053400536929,0.035406036635681565,0.0452530102315858,0.061280478222044056,0.06547718070046184,0.16541612156747226,0.08450395854278597,5000,0
baseline,baseline,z_z_z,0,ok,8.63102661547655,20,50,5000,30,0.0,14.658063129695837,5397.025566049914,12.845023616388856,14.908761311972997,20.043582875638922,0.06754214910556791,17.387321213704404,21.655692932555347,5000,0
baseline,baseline,z_z_z,1,ok,8.63102661547655,20,50,5000,30,0.0,14.539982900352811,5605.964285415545,12.210250107138595,14.756065164031149,19.74678633218173,0.06829642883278719,16.74886900457509,21.784315589450397,5000,0
baseline,baseline,z_z_z,2,ok,8.63102661547655,20,50,5000,30,0.0,14.791151587731013,5704.095821173057,13.064566024263597,15.095693541754157,20.174057630987683,0.07033394894783915,17.66654345250543,21.98512993610152,5000,0
baseline,baseline,z_z_z,3,ok,8.63102661547655,20,50,5000,30,0.0,14.194817551775198,5324.217874508284,11.604816154003249,14.355246597528186,19.248879091732057,0.07025889211669978,16.128282866609116,20.989472807396012,5000,0
baseline,baseline,z_z_z,4,ok,8.63102661547655,20,50,5000,30,0.0,14.177142336225236,5141.611189520253,12.305052215195436,14.312638414506669,19.409681756926897,0.06996161217625632,16.26574035668401,20.930901150055917,5000,0
